醫事機構代碼,診療科別
0421040011,83
0421040011,84
0421040011,85
0421040011,86
0421040011,87
0421040011,88
0431270012,00
0431270012,01
0431270012,02
0431270012,03
0431270012,04
0431270012,06
0431270012,08
0431270012,12
0431270012,14
0431270012,22
0431270012,40
0431270012,82
0433050018,01
0433050018,02
0433050018,03
0433050018,04
0433050018,05
0433050018,06
0433050018,08
0433050018,09
0433050018,10
0433050018,11
0433050018,12
0433050018,13
0433050018,14
0433050018,22
0433050018,40
0433050018,81
0433050018,84
0433050018,85
0433050018,86
0433050018,87
0434010518,00
0434010518,01
0434010518,02
0434010518,03
0434010518,04
0434010518,05
0434010518,06
0434010518,07
0434010518,08
0434010518,09
0434010518,10
0434010518,12
0434010518,13
0434010518,14
0434010518,15
0434010518,16
0434010518,22
0434010518,40
0434010518,47
0434010518,51
0434010518,60
0434010518,81
0434010518,84
0434010518,85
0434010518,86
0434010518,87
0439010518,00
0439010518,01
0439010518,02
0439010518,03
0439010518,04
0439010518,05
0439010518,06
0439010518,07
0439010518,08
0439010518,09
0439010518,10
0439010518,11
0439010518,12
0439010518,13
0439010518,14
0439010518,15
0439010518,16
0439010518,22
0439010518,40
0439010518,44
0439010518,47
0439010518,50
0439010518,81
0439010518,82
0439010518,83
0439010518,84
0439010518,85
0439010518,86
0439010518,87
0439010518,88
0439010527,01
0439010527,02
0439010527,03
0439010527,04
0439010527,05
0439010527,06
0439010527,07
0439010527,08
0439010527,09
0439010527,12
0439010527,13
0439010527,16
0439010527,22
0439010527,40
0439010527,81
0439010527,86
0439010527,87
0501010019,01
0501010019,02
0501010019,03
0501010019,04
0501010019,05
0501010019,06
0501010019,07
0501010019,08
0501010019,09
0501010019,10
0501010019,11
0501010019,12
0501010019,13
0501010019,14
0501010019,22
0501010019,40
0501010019,81
0501010019,82
0501010019,83
0501010019,87
0501110514,00
0501110514,01
0501110514,02
0501110514,03
0501110514,04
0501110514,05
0501110514,06
0501110514,07
0501110514,08
0501110514,09
0501110514,10
0501110514,11
0501110514,12
0501110514,13
0501110514,14
0501110514,15
0501110514,16
0501110514,22
0501110514,40
0501110514,41
0501110514,42
0501110514,43
0501110514,44
0501110514,45
0501110514,46
0501110514,47
0501110514,49
0501110514,50
0501110514,51
0501110514,60
0501110514,81
0501110514,84
0501110514,85
0501110514,86
0501110514,87
0501110514,88
0501160014,00
0501160014,01
0501160014,02
0501160014,03
0501160014,12
0501160014,13
0501160014,40
0502030015,01
0502030015,02
0502030015,03
0502030015,04
0502030015,05
0502030015,06
0502030015,07
0502030015,08
0502030015,09
0502030015,10
0502030015,11
0502030015,12
0502030015,13
0502030015,14
0502030015,15
0502030015,16
0502030015,22
0502030015,40
0502030015,60
0502030015,81
0502030015,84
0502030015,85
0502030015,86
0502030015,87
0502080015,01
0502080015,02
0502080015,03
0502080015,04
0502080015,05
0502080015,06
0502080015,07
0502080015,08
0502080015,09
0502080015,10
0502080015,11
0502080015,12
0502080015,13
0502080015,14
0502080015,15
0502080015,22
0502080015,40
0502080015,43
0502080015,45
0502080015,46
0502080015,47
0502080015,50
0502080015,60
0502080015,81
0502080015,84
0502080015,85
0502080015,86
0502080015,87
0502080015,88
0511040010,02
0511040010,03
0511040010,04
0511040010,05
0511040010,06
0511040010,08
0511040010,13
0511040010,14
0511040010,40
0511040010,81
0511040010,86
0512040014,01
0512040014,02
0512040014,03
0512040014,04
0512040014,05
0512040014,06
0512040014,07
0512040014,08
0512040014,09
0512040014,10
0512040014,11
0512040014,12
0512040014,13
0512040014,14
0512040014,22
0512040014,40
0512040014,60
0512040014,81
0512040014,86
0512040014,87
0517050010,02
0517050010,03
0517050010,06
0517050010,07
0517050010,08
0517050010,09
0517050010,13
0517050010,14
0517050010,22
0517050010,40
0517050010,60
0517050010,81
0517050010,86
0532090029,01
0532090029,02
0532090029,03
0532090029,04
0532090029,05
0532090029,06
0532090029,07
0532090029,08
0532090029,09
0532090029,10
0532090029,11
0532090029,12
0532090029,13
0532090029,14
0532090029,15
0532090029,16
0532090029,22
0532090029,40
0532090029,50
0532090029,60
0532090029,81
0532090029,82
0532090029,83
0532090029,84
0532090029,85
0532090029,86
0532090029,88
0536190011,01
0536190011,02
0536190011,03
0536190011,04
0536190011,05
0536190011,06
0536190011,07
0536190011,08
0536190011,09
0536190011,10
0536190011,11
0536190011,12
0536190011,13
0536190011,14
0536190011,15
0536190011,22
0536190011,40
0536190011,50
0536190011,60
0536190011,81
0536190011,84
0536190011,85
0536190011,86
0536190011,87
0542020011,01
0542020011,02
0542020011,03
0542020011,04
0542020011,05
0542020011,06
0542020011,08
0542020011,12
0542020011,13
0542020011,14
0542020011,40
0542020011,60
0542020011,81
0542020011,86
0543010019,02
0543010019,03
0543010019,06
0543010019,10
0543010019,13
0543010019,14
0543010019,40
0544010031,02
0544010031,03
0544010031,04
0544010031,05
0544010031,06
0544010031,07
0544010031,08
0544010031,09
0544010031,12
0544010031,13
0544010031,16
0544010031,22
0544010031,40
0544010031,86
0545040515,01
0545040515,02
0545040515,03
0545040515,04
0545040515,05
0545040515,06
0545040515,07
0545040515,08
0545040515,09
0545040515,12
0545040515,13
0545040515,14
0545040515,15
0545040515,22
0545040515,40
0545040515,60
0545040515,81
0545040515,82
0545040515,84
0545040515,87
0601160016,00
0601160016,01
0601160016,02
0601160016,03
0601160016,04
0601160016,05
0601160016,06
0601160016,07
0601160016,08
0601160016,09
0601160016,10
0601160016,11
0601160016,12
0601160016,13
0601160016,14
0601160016,15
0601160016,16
0601160016,22
0601160016,40
0601160016,42
0601160016,45
0601160016,46
0601160016,47
0601160016,51
0601160016,60
0601160016,81
0601160016,84
0601160016,85
0601160016,86
0601160016,87
0601160016,88
0602030026,01
0602030026,02
0602030026,03
0602030026,04
0602030026,05
0602030026,06
0602030026,07
0602030026,08
0602030026,09
0602030026,10
0602030026,11
0602030026,12
0602030026,13
0602030026,14
0602030026,15
0602030026,16
0602030026,22
0602030026,40
0602030026,42
0602030026,43
0602030026,44
0602030026,46
0602030026,47
0602030026,50
0602030026,60
0602030026,81
0602030026,84
0602030026,85
0602030026,86
0602030026,87
0602030026,88
0617060018,00
0617060018,01
0617060018,02
0617060018,03
0617060018,04
0617060018,05
0617060018,06
0617060018,07
0617060018,08
0617060018,09
0617060018,10
0617060018,11
0617060018,12
0617060018,13
0617060018,14
0617060018,15
0617060018,16
0617060018,22
0617060018,40
0617060018,42
0617060018,43
0617060018,44
0617060018,45
0617060018,46
0617060018,47
0617060018,49
0617060018,51
0617060018,60
0617060018,81
0617060018,84
0617060018,85
0617060018,86
0617060018,87
0617060018,88
0622020017,01
0622020017,02
0622020017,03
0622020017,05
0622020017,06
0622020017,07
0622020017,08
0622020017,09
0622020017,10
0622020017,12
0622020017,13
0622020017,14
0622020017,15
0622020017,16
0622020017,22
0622020017,40
0622020017,60
0622020017,81
0622020017,84
0622020017,85
0622020017,86
0632010014,01
0632010014,02
0632010014,03
0632010014,04
0632010014,05
0632010014,06
0632010014,08
0632010014,10
0632010014,11
0632010014,12
0632010014,13
0632010014,14
0632010014,22
0632010014,40
0632010014,60
0632010014,81
0632010014,86
0632010014,87
0632010014,88
0633030010,01
0633030010,02
0633030010,03
0633030010,05
0633030010,06
0633030010,07
0633030010,08
0633030010,09
0633030010,12
0633030010,13
0633030010,14
0633030010,22
0633030010,40
0633030010,60
0633030010,81
0633030010,82
0633030010,83
0634030014,01
0634030014,02
0634030014,06
0634030014,10
0634030014,12
0634030014,13
0634030014,14
0634030014,22
0634030014,81
0634070018,01
0634070018,02
0634070018,03
0634070018,04
0634070018,05
0634070018,06
0634070018,08
0634070018,09
0634070018,12
0634070018,13
0634070018,14
0634070018,40
0634070018,60
0634070018,81
0634070018,86
0638020014,01
0638020014,02
0638020014,03
0638020014,04
0638020014,05
0638020014,06
0638020014,07
0638020014,08
0638020014,09
0638020014,10
0638020014,12
0638020014,13
0638020014,14
0638020014,16
0638020014,22
0638020014,40
0638020014,60
0638020014,81
0638020014,86
0640140012,01
0640140012,02
0640140012,03
0640140012,04
0640140012,05
0640140012,13
0640140012,14
0640140012,40
0640140012,60
0640140012,82
0641310018,01
0641310018,02
0641310018,03
0641310018,04
0641310018,05
0641310018,06
0641310018,07
0641310018,08
0641310018,09
0641310018,10
0641310018,12
0641310018,13
0641310018,14
0641310018,22
0641310018,40
0641310018,60
0641310018,81
0641310018,82
0643010011,00
0643010011,01
0643010011,02
0643010011,03
0643010011,04
0643010011,05
0643010011,06
0643010011,07
0643010011,08
0643010011,09
0643010011,10
0643010011,11
0643010011,12
0643010011,14
0643010011,16
0643010011,22
0643010011,40
0643010011,42
0643010011,60
0643010011,81
0643010011,84
0643010011,85
0643010011,86
0643010011,87
0643130018,01
0643130018,02
0643130018,03
0643130018,05
0643130018,06
0643130018,08
0643130018,12
0643130018,13
0643130018,14
0643130018,22
0643130018,40
0643130018,60
0643130018,81
0643130018,86
0645020015,00
0645020015,02
0645020015,03
0645020015,06
0645020015,08
0645020015,10
0645020015,13
0645020015,22
0645020015,2B
0645020015,82
0645030011,00
0645030011,01
0645030011,02
0645030011,03
0645030011,04
0645030011,05
0645030011,06
0645030011,13
0645030011,22
0645030011,40
0645030011,60
0645030011,81
0645030011,86
0646010013,02
0646010013,03
0646010013,06
0646010013,09
0646010013,13
0646010013,14
0646010013,60
0646010013,82
0701160518,01
0701160518,02
0701160518,12
0701160518,13
0701160518,14
0701160518,40
0701160518,60
0701160518,86
0717070516,02
0717070516,03
0717070516,13
0717070516,40
0807350018,60
0901020013,01
0901020013,02
0901020013,03
0901020013,04
0901020013,05
0901020013,06
0901020013,07
0901020013,08
0901020013,09
0901020013,10
0901020013,11
0901020013,12
0901020013,14
0901020013,15
0901020013,40
0901020013,81
0901020013,85
0901020013,86
0901020013,87
0901180023,02
0901180023,03
0901180023,06
0901180023,08
0901180023,10
0901180023,11
0901180023,12
0901180023,14
0901180023,81
0901180023,86
0901190010,01
0901190010,02
0901190010,03
0901190010,04
0901190010,05
0901190010,06
0901190010,07
0901190010,08
0901190010,09
0901190010,10
0901190010,11
0901190010,12
0901190010,13
0901190010,14
0901190010,22
0901190010,40
0901190010,81
0901190010,86
0902080013,01
0902080013,02
0902080013,03
0902080013,04
0902080013,05
0902080013,06
0902080013,07
0902080013,08
0902080013,09
0902080013,10
0902080013,11
0902080013,12
0902080013,13
0902080013,14
0902080013,15
0902080013,16
0902080013,22
0902080013,40
0902080013,47
0902080013,81
0902080013,84
0902080013,85
0902080013,86
0902080013,87
0903150014,01
0903150014,02
0903150014,03
0903150014,04
0903150014,05
0903150014,06
0903150014,07
0903150014,08
0903150014,09
0903150014,10
0903150014,12
0903150014,13
0903150014,14
0903150014,15
0903150014,22
0903150014,40
0903150014,60
0903150014,81
0903150014,86
0905290020,01
0905290020,02
0905320014,02
0905320014,12
0905320023,01
0905320023,02
0905320023,03
0905320023,04
0905320023,05
0905320023,06
0905320023,07
0905320023,08
0905320023,09
0905320023,10
0905320023,11
0905320023,12
0905320023,13
0905320023,14
0905320023,15
0905320023,16
0905320023,22
0905320023,40
0905320023,41
0905320023,42
0905320023,50
0905320023,60
0905320023,81
0905320023,86
0905320023,87
0907120012,13
0907120012,14
0907150029,01
0907150029,02
0907150029,03
0907150029,04
0907150029,05
0907150029,06
0907150029,07
0907150029,08
0907150029,09
0907150029,10
0907150029,12
0907150029,13
0907150029,14
0907150029,15
0907150029,22
0907150029,60
0907150029,81
0907150029,82
0907150029,83
0907150029,84
0907150029,85
0907320012,01
0907320012,02
0907320012,06
0911010010,13
0912040012,02
0912040012,03
0912040012,08
0917050027,12
0917050027,13
0917070029,01
0917070029,02
0917070029,03
0917070029,04
0917070029,05
0917070029,06
0917070029,07
0917070029,08
0917070029,09
0917070029,10
0917070029,12
0917070029,13
0917070029,14
0917070029,15
0917070029,22
0917070029,40
0917070029,81
0917070029,83
0917070029,84
0917070029,85
0917070029,86
0922020013,01
0922020013,02
0922020013,14
0922020022,01
0922020022,02
0922020022,03
0922020022,04
0922020022,10
0922020022,14
0922020022,16
0922020022,60
0922020022,82
0922020031,02
0922020031,14
0922020040,01
0922020040,02
0922020040,03
0922020059,02
0922020059,06
0922020059,07
0931010016,02
0931010016,03
0931010016,06
0931010016,08
0931010016,14
0931010016,40
0931010016,81
0931010016,86
0931010025,01
0931010025,02
0931010025,14
0931050010,13
0931060016,01
0931060016,02
0931060016,03
0931060016,06
0931060016,08
0931060016,14
0931090014,02
0931100015,13
